checkpoint path: /data_2/projects/PseNet/ckpt/wh_bs_8_ep_200_pretrain_pretrain_ic17
init lr: 0.00010000
('schedule: ', [30, 60])
/data_1/software/anaconda/envs/PSENet/lib/python2.7/site-packages/torch/nn/functional.py:2457: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
/data_1/software/anaconda/envs/PSENet/lib/python2.7/site-packages/torch/nn/functional.py:2539: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  "See the documentation of nn.Upsample for details.".format(mode))
None
Using pretrained model.

Epoch: [1 | 200] LR: 0.000100
(1/33) Batch: 1.861s | TOTAL: 0min | ETA: 1min | Loss: 0.0633 | Acc_t:  0.9383 | IOU_t:  0.9095 | IOU_k:  0.8775
(2/33) Batch: 1.592s | TOTAL: 0min | ETA: 1min | Loss: 0.0635 | Acc_t:  0.9438 | IOU_t:  0.9109 | IOU_k:  0.8625
(3/33) Batch: 1.517s | TOTAL: 0min | ETA: 1min | Loss: 0.0635 | Acc_t:  0.9448 | IOU_t:  0.9082 | IOU_k:  0.8691
(4/33) Batch: 1.479s | TOTAL: 0min | ETA: 1min | Loss: 0.0602 | Acc_t:  0.9476 | IOU_t:  0.9141 | IOU_k:  0.8702
(5/33) Batch: 1.450s | TOTAL: 0min | ETA: 1min | Loss: 0.0777 | Acc_t:  0.9392 | IOU_t:  0.9065 | IOU_k:  0.8521
(6/33) Batch: 1.415s | TOTAL: 0min | ETA: 1min | Loss: 0.1009 | Acc_t:  0.9406 | IOU_t:  0.9092 | IOU_k:  0.8537
(7/33) Batch: 1.394s | TOTAL: 0min | ETA: 1min | Loss: 0.1010 | Acc_t:  0.9328 | IOU_t:  0.8997 | IOU_k:  0.8411
(8/33) Batch: 1.367s | TOTAL: 0min | ETA: 1min | Loss: 0.0965 | Acc_t:  0.9348 | IOU_t:  0.9015 | IOU_k:  0.8425
(9/33) Batch: 1.385s | TOTAL: 0min | ETA: 1min | Loss: 0.0950 | Acc_t:  0.9337 | IOU_t:  0.8969 | IOU_k:  0.8419
(10/33) Batch: 1.378s | TOTAL: 0min | ETA: 1min | Loss: 0.0922 | Acc_t:  0.9354 | IOU_t:  0.8980 | IOU_k:  0.8437
(11/33) Batch: 1.376s | TOTAL: 0min | ETA: 1min | Loss: 0.0959 | Acc_t:  0.9372 | IOU_t:  0.8980 | IOU_k:  0.8469
