checkpoint path: /data_2/projects/PseNet/ckpt/wh0603-0702_bs_8_ep_200_pretrain198_pretrain_ic17
init lr: 0.00010000
('schedule: ', [30, 60])
/data_1/software/anaconda/envs/PSENet/lib/python2.7/site-packages/torch/nn/functional.py:2457: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
/data_1/software/anaconda/envs/PSENet/lib/python2.7/site-packages/torch/nn/functional.py:2539: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  "See the documentation of nn.Upsample for details.".format(mode))
None
Using pretrained model.

Epoch: [1 | 200] LR: 0.000100
(1/78) Batch: 2.366s | TOTAL: 0min | ETA: 3min | Loss: 0.5235 | Acc_t:  0.9602 | IOU_t:  0.9332 | IOU_k:  0.8864
(2/78) Batch: 2.271s | TOTAL: 0min | ETA: 3min | Loss: 0.2852 | Acc_t:  0.9600 | IOU_t:  0.9368 | IOU_k:  0.8852
(3/78) Batch: 2.101s | TOTAL: 0min | ETA: 3min | Loss: 0.2046 | Acc_t:  0.9621 | IOU_t:  0.9399 | IOU_k:  0.8904
(4/78) Batch: 1.916s | TOTAL: 0min | ETA: 2min | Loss: 0.1744 | Acc_t:  0.9602 | IOU_t:  0.9336 | IOU_k:  0.8841
(5/78) Batch: 1.873s | TOTAL: 0min | ETA: 2min | Loss: 0.1618 | Acc_t:  0.9601 | IOU_t:  0.9306 | IOU_k:  0.8803
(6/78) Batch: 1.873s | TOTAL: 0min | ETA: 2min | Loss: 0.1463 | Acc_t:  0.9571 | IOU_t:  0.9288 | IOU_k:  0.8775
(7/78) Batch: 1.831s | TOTAL: 0min | ETA: 2min | Loss: 0.1339 | Acc_t:  0.9580 | IOU_t:  0.9300 | IOU_k:  0.8758
(8/78) Batch: 1.827s | TOTAL: 0min | ETA: 2min | Loss: 0.1252 | Acc_t:  0.9574 | IOU_t:  0.9296 | IOU_k:  0.8766
(9/78) Batch: 1.866s | TOTAL: 0min | ETA: 2min | Loss: 0.1213 | Acc_t:  0.9574 | IOU_t:  0.9271 | IOU_k:  0.8759
(10/78) Batch: 1.839s | TOTAL: 0min | ETA: 2min | Loss: 0.1138 | Acc_t:  0.9590 | IOU_t:  0.9285 | IOU_k:  0.8756
(11/78) Batch: 1.842s | TOTAL: 0min | ETA: 2min | Loss: 0.1314 | Acc_t:  0.9588 | IOU_t:  0.9273 | IOU_k:  0.8746
(12/78) Batch: 1.808s | TOTAL: 0min | ETA: 2min | Loss: 0.1266 | Acc_t:  0.9595 | IOU_t:  0.9284 | IOU_k:  0.8771
(13/78) Batch: 1.800s | TOTAL: 0min | ETA: 2min | Loss: 0.1382 | Acc_t:  0.9603 | IOU_t:  0.9308 | IOU_k:  0.8825
(14/78) Batch: 1.790s | TOTAL: 0min | ETA: 2min | Loss: 0.1334 | Acc_t:  0.9603 | IOU_t:  0.9299 | IOU_k:  0.8802
(15/78) Batch: 1.795s | TOTAL: 0min | ETA: 2min | Loss: 0.1284 | Acc_t:  0.9603 | IOU_t:  0.9306 | IOU_k:  0.8825
(16/78) Batch: 1.792s | TOTAL: 0min | ETA: 2min | Loss: 0.1242 | Acc_t:  0.9597 | IOU_t:  0.9299 | IOU_k:  0.8820
(17/78) Batch: 1.774s | TOTAL: 0min | ETA: 2min | Loss: 0.1206 | Acc_t:  0.9596 | IOU_t:  0.9294 | IOU_k:  0.8814
(18/78) Batch: 1.775s | TOTAL: 1min | ETA: 2min | Loss: 0.1179 | Acc_t:  0.9593 | IOU_t:  0.9294 | IOU_k:  0.8810
(19/78) Batch: 1.777s | TOTAL: 1min | ETA: 2min | Loss: 0.1191 | Acc_t:  0.9579 | IOU_t:  0.9279 | IOU_k:  0.8786
(20/78) Batch: 1.780s | TOTAL: 1min | ETA: 2min | Loss: 0.1289 | Acc_t:  0.9542 | IOU_t:  0.9230 | IOU_k:  0.8707
(21/78) Batch: 1.769s | TOTAL: 1min | ETA: 2min | Loss: 0.1249 | Acc_t:  0.9547 | IOU_t:  0.9240 | IOU_k:  0.8718
(22/78) Batch: 1.781s | TOTAL: 1min | ETA: 2min | Loss: 0.1222 | Acc_t:  0.9542 | IOU_t:  0.9234 | IOU_k:  0.8719
(23/78) Batch: 1.788s | TOTAL: 1min | ETA: 2min | Loss: 0.1203 | Acc_t:  0.9521 | IOU_t:  0.9214 | IOU_k:  0.8651
(24/78) Batch: 1.793s | TOTAL: 1min | ETA: 2min | Loss: 0.1175 | Acc_t:  0.9522 | IOU_t:  0.9219 | IOU_k:  0.8659
(25/78) Batch: 1.802s | TOTAL: 1min | ETA: 2min | Loss: 0.1262 | Acc_t:  0.9518 | IOU_t:  0.9214 | IOU_k:  0.8648
(26/78) Batch: 1.800s | TOTAL: 1min | ETA: 2min | Loss: 0.1235 | Acc_t:  0.9521 | IOU_t:  0.9219 | IOU_k:  0.8652
(27/78) Batch: 1.812s | TOTAL: 1min | ETA: 2min | Loss: 0.1216 | Acc_t:  0.9521 | IOU_t:  0.9219 | IOU_k:  0.8656
(28/78) Batch: 1.809s | TOTAL: 1min | ETA: 2min | Loss: 0.1190 | Acc_t:  0.9526 | IOU_t:  0.9225 | IOU_k:  0.8657
(29/78) Batch: 1.804s | TOTAL: 1min | ETA: 2min | Loss: 0.1163 | Acc_t:  0.9535 | IOU_t:  0.9238 | IOU_k:  0.8674
(30/78) Batch: 1.804s | TOTAL: 1min | ETA: 1min | Loss: 0.1138 | Acc_t:  0.9541 | IOU_t:  0.9248 | IOU_k:  0.8684
