checkpoint path: /data_2/projects/PseNet/ckpt/wh0603--0609-0702_pretrain_ic17
init lr: 0.00010000
('schedule: ', [30, 60])
/data_1/software/anaconda/envs/PSENet/lib/python2.7/site-packages/torch/nn/functional.py:2457: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
/data_1/software/anaconda/envs/PSENet/lib/python2.7/site-packages/torch/nn/functional.py:2539: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  "See the documentation of nn.Upsample for details.".format(mode))
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210603/data4train/human_check/train/img ==========
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210702/data4train/pse_wh_200_error_labeled/train/img ==========
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210609/data4train/pse_wh_200_error_labeled/train/img ==========
None
Using pretrained model.

Epoch: [1 | 200] LR: 0.000100
(1/96) Batch: 1.847s | TOTAL: 0min | ETA: 3min | Loss: 0.0437 | Acc_t:  0.9650 | IOU_t:  0.9429 | IOU_k:  0.9028
(2/96) Batch: 1.917s | TOTAL: 0min | ETA: 3min | Loss: 0.0493 | Acc_t:  0.9617 | IOU_t:  0.9339 | IOU_k:  0.8946
(3/96) Batch: 1.772s | TOTAL: 0min | ETA: 3min | Loss: 0.0666 | Acc_t:  0.9526 | IOU_t:  0.9062 | IOU_k:  0.8961
(4/96) Batch: 1.757s | TOTAL: 0min | ETA: 3min | Loss: 0.0631 | Acc_t:  0.9505 | IOU_t:  0.9086 | IOU_k:  0.8907
(5/96) Batch: 1.781s | TOTAL: 0min | ETA: 3min | Loss: 0.1137 | Acc_t:  0.9381 | IOU_t:  0.8949 | IOU_k:  0.8644
(6/96) Batch: 1.783s | TOTAL: 0min | ETA: 3min | Loss: 0.1019 | Acc_t:  0.9427 | IOU_t:  0.9028 | IOU_k:  0.8742
(7/96) Batch: 1.756s | TOTAL: 0min | ETA: 3min | Loss: 0.0945 | Acc_t:  0.9453 | IOU_t:  0.9066 | IOU_k:  0.8770
(8/96) Batch: 1.829s | TOTAL: 0min | ETA: 3min | Loss: 0.1466 | Acc_t:  0.9445 | IOU_t:  0.9037 | IOU_k:  0.8768
(9/96) Batch: 1.806s | TOTAL: 0min | ETA: 3min | Loss: 0.1360 | Acc_t:  0.9468 | IOU_t:  0.9070 | IOU_k:  0.8772
(10/96) Batch: 1.799s | TOTAL: 0min | ETA: 3min | Loss: 0.1265 | Acc_t:  0.9488 | IOU_t:  0.9107 | IOU_k:  0.8784
(11/96) Batch: 1.762s | TOTAL: 0min | ETA: 3min | Loss: 0.1194 | Acc_t:  0.9502 | IOU_t:  0.9130 | IOU_k:  0.8788
(12/96) Batch: 1.754s | TOTAL: 0min | ETA: 2min | Loss: 0.1135 | Acc_t:  0.9512 | IOU_t:  0.9148 | IOU_k:  0.8804
(13/96) Batch: 1.766s | TOTAL: 0min | ETA: 2min | Loss: 0.1299 | Acc_t:  0.9505 | IOU_t:  0.9115 | IOU_k:  0.8737
(14/96) Batch: 1.762s | TOTAL: 0min | ETA: 2min | Loss: 0.1257 | Acc_t:  0.9503 | IOU_t:  0.9110 | IOU_k:  0.8741
(15/96) Batch: 1.762s | TOTAL: 0min | ETA: 2min | Loss: 0.1367 | Acc_t:  0.9499 | IOU_t:  0.9113 | IOU_k:  0.8736
(16/96) Batch: 1.764s | TOTAL: 0min | ETA: 2min | Loss: 0.1322 | Acc_t:  0.9494 | IOU_t:  0.9105 | IOU_k:  0.8720
(17/96) Batch: 1.763s | TOTAL: 0min | ETA: 2min | Loss: 0.1285 | Acc_t:  0.9489 | IOU_t:  0.9093 | IOU_k:  0.8727
(18/96) Batch: 1.776s | TOTAL: 1min | ETA: 2min | Loss: 0.1243 | Acc_t:  0.9496 | IOU_t:  0.9095 | IOU_k:  0.8731
(19/96) Batch: 1.768s | TOTAL: 1min | ETA: 2min | Loss: 0.1207 | Acc_t:  0.9501 | IOU_t:  0.9105 | IOU_k:  0.8732
(20/96) Batch: 1.784s | TOTAL: 1min | ETA: 2min | Loss: 0.1168 | Acc_t:  0.9512 | IOU_t:  0.9121 | IOU_k:  0.8745
(21/96) Batch: 1.777s | TOTAL: 1min | ETA: 2min | Loss: 0.1138 | Acc_t:  0.9517 | IOU_t:  0.9116 | IOU_k:  0.8736
(22/96) Batch: 1.767s | TOTAL: 1min | ETA: 2min | Loss: 0.1107 | Acc_t:  0.9525 | IOU_t:  0.9130 | IOU_k:  0.8741
(23/96) Batch: 1.772s | TOTAL: 1min | ETA: 2min | Loss: 0.1079 | Acc_t:  0.9532 | IOU_t:  0.9143 | IOU_k:  0.8738
(24/96) Batch: 1.766s | TOTAL: 1min | ETA: 2min | Loss: 0.1059 | Acc_t:  0.9535 | IOU_t:  0.9142 | IOU_k:  0.8736
(25/96) Batch: 1.766s | TOTAL: 1min | ETA: 2min | Loss: 0.1045 | Acc_t:  0.9541 | IOU_t:  0.9153 | IOU_k:  0.8738
(26/96) Batch: 1.769s | TOTAL: 1min | ETA: 2min | Loss: 0.1028 | Acc_t:  0.9543 | IOU_t:  0.9159 | IOU_k:  0.8743
(27/96) Batch: 1.767s | TOTAL: 1min | ETA: 2min | Loss: 0.1013 | Acc_t:  0.9548 | IOU_t:  0.9160 | IOU_k:  0.8742
(28/96) Batch: 1.759s | TOTAL: 1min | ETA: 2min | Loss: 0.0998 | Acc_t:  0.9545 | IOU_t:  0.9160 | IOU_k:  0.8734
(29/96) Batch: 1.762s | TOTAL: 1min | ETA: 2min | Loss: 0.0980 | Acc_t:  0.9551 | IOU_t:  0.9169 | IOU_k:  0.8740
(30/96) Batch: 1.749s | TOTAL: 1min | ETA: 2min | Loss: 0.0965 | Acc_t:  0.9555 | IOU_t:  0.9173 | IOU_k:  0.8741
(31/96) Batch: 1.757s | TOTAL: 1min | ETA: 2min | Loss: 0.0947 | Acc_t:  0.9561 | IOU_t:  0.9184 | IOU_k:  0.8754
(32/96) Batch: 1.749s | TOTAL: 1min | ETA: 2min | Loss: 0.0931 | Acc_t:  0.9566 | IOU_t:  0.9192 | IOU_k:  0.8758
(33/96) Batch: 1.745s | TOTAL: 1min | ETA: 2min | Loss: 0.0918 | Acc_t:  0.9567 | IOU_t:  0.9192 | IOU_k:  0.8756
(34/96) Batch: 1.745s | TOTAL: 1min | ETA: 2min | Loss: 0.0902 | Acc_t:  0.9571 | IOU_t:  0.9200 | IOU_k:  0.8762
(35/96) Batch: 1.732s | TOTAL: 1min | ETA: 2min | Loss: 0.0898 | Acc_t:  0.9563 | IOU_t:  0.9190 | IOU_k:  0.8748
(36/96) Batch: 1.727s | TOTAL: 1min | ETA: 2min | Loss: 0.0883 | Acc_t:  0.9571 | IOU_t:  0.9202 | IOU_k:  0.8765
(37/96) Batch: 1.735s | TOTAL: 1min | ETA: 2min | Loss: 0.0897 | Acc_t:  0.9572 | IOU_t:  0.9202 | IOU_k:  0.8767
(38/96) Batch: 1.744s | TOTAL: 1min | ETA: 2min | Loss: 0.0891 | Acc_t:  0.9570 | IOU_t:  0.9198 | IOU_k:  0.8761
(39/96) Batch: 1.739s | TOTAL: 1min | ETA: 2min | Loss: 0.0884 | Acc_t:  0.9568 | IOU_t:  0.9196 | IOU_k:  0.8761
(40/96) Batch: 1.745s | TOTAL: 1min | ETA: 2min | Loss: 0.0934 | Acc_t:  0.9569 | IOU_t:  0.9200 | IOU_k:  0.8765
(41/96) Batch: 1.746s | TOTAL: 1min | ETA: 2min | Loss: 0.0925 | Acc_t:  0.9568 | IOU_t:  0.9201 | IOU_k:  0.8764
(42/96) Batch: 1.746s | TOTAL: 1min | ETA: 2min | Loss: 0.0920 | Acc_t:  0.9567 | IOU_t:  0.9205 | IOU_k:  0.8768
(43/96) Batch: 1.749s | TOTAL: 1min | ETA: 2min | Loss: 0.0916 | Acc_t:  0.9562 | IOU_t:  0.9194 | IOU_k:  0.8760
(44/96) Batch: 1.749s | TOTAL: 1min | ETA: 2min | Loss: 0.0906 | Acc_t:  0.9565 | IOU_t:  0.9199 | IOU_k:  0.8764
(45/96) Batch: 1.755s | TOTAL: 1min | ETA: 2min | Loss: 0.0956 | Acc_t:  0.9562 | IOU_t:  0.9199 | IOU_k:  0.8760
(46/96) Batch: 1.752s | TOTAL: 1min | ETA: 1min | Loss: 0.0952 | Acc_t:  0.9560 | IOU_t:  0.9195 | IOU_k:  0.8750
(47/96) Batch: 1.749s | TOTAL: 1min | ETA: 1min | Loss: 0.0944 | Acc_t:  0.9561 | IOU_t:  0.9193 | IOU_k:  0.8750
(48/96) Batch: 1.751s | TOTAL: 1min | ETA: 1min | Loss: 0.0938 | Acc_t:  0.9561 | IOU_t:  0.9191 | IOU_k:  0.8753
(49/96) Batch: 1.744s | TOTAL: 1min | ETA: 1min | Loss: 0.0930 | Acc_t:  0.9561 | IOU_t:  0.9190 | IOU_k:  0.8747
(50/96) Batch: 1.741s | TOTAL: 1min | ETA: 1min | Loss: 0.0921 | Acc_t:  0.9563 | IOU_t:  0.9193 | IOU_k:  0.8748
(51/96) Batch: 1.739s | TOTAL: 1min | ETA: 1min | Loss: 0.0911 | Acc_t:  0.9565 | IOU_t:  0.9198 | IOU_k:  0.8754
(52/96) Batch: 1.742s | TOTAL: 1min | ETA: 1min | Loss: 0.0951 | Acc_t:  0.9563 | IOU_t:  0.9198 | IOU_k:  0.8752
(53/96) Batch: 1.743s | TOTAL: 2min | ETA: 1min | Loss: 0.0941 | Acc_t:  0.9567 | IOU_t:  0.9203 | IOU_k:  0.8756
(54/96) Batch: 1.739s | TOTAL: 2min | ETA: 1min | Loss: 0.0933 | Acc_t:  0.9566 | IOU_t:  0.9204 | IOU_k:  0.8756
(55/96) Batch: 1.743s | TOTAL: 2min | ETA: 1min | Loss: 0.0928 | Acc_t:  0.9564 | IOU_t:  0.9203 | IOU_k:  0.8758
(56/96) Batch: 1.743s | TOTAL: 2min | ETA: 1min | Loss: 0.0921 | Acc_t:  0.9564 | IOU_t:  0.9203 | IOU_k:  0.8758
(57/96) Batch: 1.745s | TOTAL: 2min | ETA: 1min | Loss: 0.0914 | Acc_t:  0.9564 | IOU_t:  0.9205 | IOU_k:  0.8757
(58/96) Batch: 1.744s | TOTAL: 2min | ETA: 1min | Loss: 0.0923 | Acc_t:  0.9565 | IOU_t:  0.9208 | IOU_k:  0.8762
(59/96) Batch: 1.739s | TOTAL: 2min | ETA: 1min | Loss: 0.0918 | Acc_t:  0.9565 | IOU_t:  0.9207 | IOU_k:  0.8759
(60/96) Batch: 1.737s | TOTAL: 2min | ETA: 1min | Loss: 0.0919 | Acc_t:  0.9563 | IOU_t:  0.9201 | IOU_k:  0.8758
(61/96) Batch: 1.739s | TOTAL: 2min | ETA: 1min | Loss: 0.0912 | Acc_t:  0.9565 | IOU_t:  0.9205 | IOU_k:  0.8768
(62/96) Batch: 1.738s | TOTAL: 2min | ETA: 1min | Loss: 0.0914 | Acc_t:  0.9560 | IOU_t:  0.9191 | IOU_k:  0.8764
(63/96) Batch: 1.734s | TOTAL: 2min | ETA: 1min | Loss: 0.0909 | Acc_t:  0.9561 | IOU_t:  0.9194 | IOU_k:  0.8764
(64/96) Batch: 1.733s | TOTAL: 2min | ETA: 1min | Loss: 0.0903 | Acc_t:  0.9563 | IOU_t:  0.9196 | IOU_k:  0.8767
