checkpoint path: /data_2/projects/PseNet/ckpt/wh0603--0609-0702_pretrain_ic17
init lr: 0.00010000
('schedule: ', [30, 60])
/data_1/software/anaconda/envs/PSENet/lib/python2.7/site-packages/torch/nn/functional.py:2457: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
/data_1/software/anaconda/envs/PSENet/lib/python2.7/site-packages/torch/nn/functional.py:2539: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  "See the documentation of nn.Upsample for details.".format(mode))
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210603/data4train/pse_wh_200_error_labeled/train/img ==========
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210603/data4train/human_check/train/img ==========
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210702/data4train/pse_wh_200_error_labeled/train/img ==========
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210609/data4train/pse_wh_200_error_labeled/train/img ==========
None
Using pretrained model.

Epoch: [1 | 200] LR: 0.000100
(1/103) Batch: 1.564s | TOTAL: 0min | ETA: 3min | Loss: 0.2949 | Acc_t:  0.9533 | IOU_t:  0.9188 | IOU_k:  0.8530
(2/103) Batch: 1.663s | TOTAL: 0min | ETA: 3min | Loss: 0.1682 | Acc_t:  0.9622 | IOU_t:  0.9319 | IOU_k:  0.8758
(3/103) Batch: 1.602s | TOTAL: 0min | ETA: 3min | Loss: 0.1280 | Acc_t:  0.9628 | IOU_t:  0.9332 | IOU_k:  0.8732
(4/103) Batch: 1.635s | TOTAL: 0min | ETA: 3min | Loss: 0.1092 | Acc_t:  0.9628 | IOU_t:  0.9342 | IOU_k:  0.8745
(5/103) Batch: 1.623s | TOTAL: 0min | ETA: 3min | Loss: 0.1162 | Acc_t:  0.9555 | IOU_t:  0.9230 | IOU_k:  0.8614
(6/103) Batch: 1.666s | TOTAL: 0min | ETA: 3min | Loss: 0.1043 | Acc_t:  0.9578 | IOU_t:  0.9270 | IOU_k:  0.8643
(7/103) Batch: 1.647s | TOTAL: 0min | ETA: 3min | Loss: 0.0978 | Acc_t:  0.9569 | IOU_t:  0.9256 | IOU_k:  0.8706
(8/103) Batch: 1.655s | TOTAL: 0min | ETA: 3min | Loss: 0.0913 | Acc_t:  0.9577 | IOU_t:  0.9251 | IOU_k:  0.8758
(9/103) Batch: 1.662s | TOTAL: 0min | ETA: 3min | Loss: 0.0873 | Acc_t:  0.9587 | IOU_t:  0.9252 | IOU_k:  0.8754
(10/103) Batch: 1.688s | TOTAL: 0min | ETA: 3min | Loss: 0.1073 | Acc_t:  0.9596 | IOU_t:  0.9269 | IOU_k:  0.8764
(11/103) Batch: 1.690s | TOTAL: 0min | ETA: 3min | Loss: 0.1053 | Acc_t:  0.9587 | IOU_t:  0.9253 | IOU_k:  0.8755
(12/103) Batch: 1.724s | TOTAL: 0min | ETA: 3min | Loss: 0.1186 | Acc_t:  0.9592 | IOU_t:  0.9239 | IOU_k:  0.8768
(13/103) Batch: 1.706s | TOTAL: 0min | ETA: 3min | Loss: 0.1142 | Acc_t:  0.9587 | IOU_t:  0.9238 | IOU_k:  0.8755
(14/103) Batch: 1.715s | TOTAL: 0min | ETA: 3min | Loss: 0.1101 | Acc_t:  0.9580 | IOU_t:  0.9224 | IOU_k:  0.8733
(15/103) Batch: 1.724s | TOTAL: 0min | ETA: 3min | Loss: 0.1068 | Acc_t:  0.9582 | IOU_t:  0.9228 | IOU_k:  0.8739
(16/103) Batch: 1.718s | TOTAL: 0min | ETA: 3min | Loss: 0.1038 | Acc_t:  0.9571 | IOU_t:  0.9215 | IOU_k:  0.8728
(17/103) Batch: 1.723s | TOTAL: 0min | ETA: 2min | Loss: 0.1161 | Acc_t:  0.9571 | IOU_t:  0.9206 | IOU_k:  0.8736
(18/103) Batch: 1.714s | TOTAL: 0min | ETA: 2min | Loss: 0.1255 | Acc_t:  0.9575 | IOU_t:  0.9218 | IOU_k:  0.8725
(19/103) Batch: 1.705s | TOTAL: 1min | ETA: 2min | Loss: 0.1216 | Acc_t:  0.9574 | IOU_t:  0.9221 | IOU_k:  0.8723
(20/103) Batch: 1.712s | TOTAL: 1min | ETA: 2min | Loss: 0.1198 | Acc_t:  0.9548 | IOU_t:  0.9196 | IOU_k:  0.8685
(21/103) Batch: 1.701s | TOTAL: 1min | ETA: 2min | Loss: 0.1163 | Acc_t:  0.9551 | IOU_t:  0.9204 | IOU_k:  0.8697
(22/103) Batch: 1.713s | TOTAL: 1min | ETA: 2min | Loss: 0.1132 | Acc_t:  0.9555 | IOU_t:  0.9212 | IOU_k:  0.8708
(23/103) Batch: 1.706s | TOTAL: 1min | ETA: 2min | Loss: 0.1108 | Acc_t:  0.9558 | IOU_t:  0.9209 | IOU_k:  0.8709
(24/103) Batch: 1.705s | TOTAL: 1min | ETA: 2min | Loss: 0.1080 | Acc_t:  0.9567 | IOU_t:  0.9218 | IOU_k:  0.8728
(25/103) Batch: 1.698s | TOTAL: 1min | ETA: 2min | Loss: 0.1059 | Acc_t:  0.9566 | IOU_t:  0.9216 | IOU_k:  0.8715
(26/103) Batch: 1.700s | TOTAL: 1min | ETA: 2min | Loss: 0.1036 | Acc_t:  0.9568 | IOU_t:  0.9224 | IOU_k:  0.8721
(27/103) Batch: 1.697s | TOTAL: 1min | ETA: 2min | Loss: 0.1015 | Acc_t:  0.9573 | IOU_t:  0.9226 | IOU_k:  0.8732
(28/103) Batch: 1.696s | TOTAL: 1min | ETA: 2min | Loss: 0.0998 | Acc_t:  0.9574 | IOU_t:  0.9228 | IOU_k:  0.8736
(29/103) Batch: 1.688s | TOTAL: 1min | ETA: 2min | Loss: 0.0979 | Acc_t:  0.9575 | IOU_t:  0.9233 | IOU_k:  0.8736
(30/103) Batch: 1.692s | TOTAL: 1min | ETA: 2min | Loss: 0.0979 | Acc_t:  0.9574 | IOU_t:  0.9235 | IOU_k:  0.8737
(31/103) Batch: 1.699s | TOTAL: 1min | ETA: 2min | Loss: 0.0967 | Acc_t:  0.9577 | IOU_t:  0.9240 | IOU_k:  0.8744
(32/103) Batch: 1.688s | TOTAL: 1min | ETA: 2min | Loss: 0.0955 | Acc_t:  0.9578 | IOU_t:  0.9234 | IOU_k:  0.8733
(33/103) Batch: 1.686s | TOTAL: 1min | ETA: 2min | Loss: 0.1017 | Acc_t:  0.9577 | IOU_t:  0.9223 | IOU_k:  0.8737
(34/103) Batch: 1.698s | TOTAL: 1min | ETA: 2min | Loss: 0.1071 | Acc_t:  0.9578 | IOU_t:  0.9228 | IOU_k:  0.8743
