checkpoint path: /data_2/projects/PseNet/ckpt/wh0603--0609-0702_pretrain_ic17
init lr: 0.00010000
('schedule: ', [30, 60])
/data_1/software/anaconda/envs/PSENet/lib/python2.7/site-packages/torch/nn/functional.py:2457: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
/data_1/software/anaconda/envs/PSENet/lib/python2.7/site-packages/torch/nn/functional.py:2539: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  "See the documentation of nn.Upsample for details.".format(mode))
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210603/data4train/pse_wh_200_right/train/img ==========
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210603/data4train/pse_wh_200_error_labeled/train/img ==========
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210603/data4train/human_check/train/img ==========
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210702/data4train/pse_wh_200_error_labeled/train/img ==========
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210609/data4train/pse_wh_200_error_labeled/train/img ==========
None
Using pretrained model.

Epoch: [1 | 200] LR: 0.000100
(1/101) Batch: 1.923s | TOTAL: 0min | ETA: 3min | Loss: 0.0624 | Acc_t:  0.9643 | IOU_t:  0.9188 | IOU_k:  0.8769
(2/101) Batch: 1.833s | TOTAL: 0min | ETA: 3min | Loss: 0.0559 | Acc_t:  0.9699 | IOU_t:  0.9283 | IOU_k:  0.8751
(3/101) Batch: 1.750s | TOTAL: 0min | ETA: 3min | Loss: 0.0564 | Acc_t:  0.9675 | IOU_t:  0.9279 | IOU_k:  0.8770
(4/101) Batch: 1.828s | TOTAL: 0min | ETA: 3min | Loss: 0.0604 | Acc_t:  0.9636 | IOU_t:  0.9223 | IOU_k:  0.8737
(5/101) Batch: 1.915s | TOTAL: 0min | ETA: 3min | Loss: 0.1079 | Acc_t:  0.9634 | IOU_t:  0.9223 | IOU_k:  0.8754
(6/101) Batch: 1.898s | TOTAL: 0min | ETA: 3min | Loss: 0.0999 | Acc_t:  0.9606 | IOU_t:  0.9192 | IOU_k:  0.8690
(7/101) Batch: 1.833s | TOTAL: 0min | ETA: 3min | Loss: 0.0936 | Acc_t:  0.9609 | IOU_t:  0.9187 | IOU_k:  0.8706
(8/101) Batch: 1.811s | TOTAL: 0min | ETA: 3min | Loss: 0.1196 | Acc_t:  0.9611 | IOU_t:  0.9187 | IOU_k:  0.8702
(9/101) Batch: 1.803s | TOTAL: 0min | ETA: 3min | Loss: 0.1114 | Acc_t:  0.9607 | IOU_t:  0.9193 | IOU_k:  0.8700
(10/101) Batch: 1.826s | TOTAL: 0min | ETA: 3min | Loss: 0.1088 | Acc_t:  0.9551 | IOU_t:  0.9125 | IOU_k:  0.8649
(11/101) Batch: 1.866s | TOTAL: 0min | ETA: 3min | Loss: 0.1690 | Acc_t:  0.9560 | IOU_t:  0.9136 | IOU_k:  0.8661
(12/101) Batch: 1.895s | TOTAL: 0min | ETA: 3min | Loss: 0.1607 | Acc_t:  0.9535 | IOU_t:  0.9115 | IOU_k:  0.8599
(13/101) Batch: 1.879s | TOTAL: 0min | ETA: 3min | Loss: 0.1529 | Acc_t:  0.9550 | IOU_t:  0.9135 | IOU_k:  0.8637
(14/101) Batch: 1.880s | TOTAL: 0min | ETA: 3min | Loss: 0.1465 | Acc_t:  0.9541 | IOU_t:  0.9127 | IOU_k:  0.8652
(15/101) Batch: 1.858s | TOTAL: 0min | ETA: 3min | Loss: 0.1573 | Acc_t:  0.9541 | IOU_t:  0.9118 | IOU_k:  0.8649
(16/101) Batch: 1.857s | TOTAL: 0min | ETA: 3min | Loss: 0.1512 | Acc_t:  0.9524 | IOU_t:  0.9101 | IOU_k:  0.8616
(17/101) Batch: 1.843s | TOTAL: 0min | ETA: 3min | Loss: 0.1457 | Acc_t:  0.9514 | IOU_t:  0.9092 | IOU_k:  0.8605
(18/101) Batch: 1.828s | TOTAL: 1min | ETA: 3min | Loss: 0.1552 | Acc_t:  0.9513 | IOU_t:  0.9085 | IOU_k:  0.8609
(19/101) Batch: 1.818s | TOTAL: 1min | ETA: 3min | Loss: 0.1493 | Acc_t:  0.9523 | IOU_t:  0.9101 | IOU_k:  0.8621
(20/101) Batch: 1.827s | TOTAL: 1min | ETA: 2min | Loss: 0.1563 | Acc_t:  0.9528 | IOU_t:  0.9110 | IOU_k:  0.8626
(21/101) Batch: 1.810s | TOTAL: 1min | ETA: 2min | Loss: 0.1523 | Acc_t:  0.9526 | IOU_t:  0.9107 | IOU_k:  0.8629
(22/101) Batch: 1.799s | TOTAL: 1min | ETA: 2min | Loss: 0.1476 | Acc_t:  0.9532 | IOU_t:  0.9118 | IOU_k:  0.8631
(23/101) Batch: 1.787s | TOTAL: 1min | ETA: 2min | Loss: 0.1448 | Acc_t:  0.9539 | IOU_t:  0.9125 | IOU_k:  0.8638
(24/101) Batch: 1.787s | TOTAL: 1min | ETA: 2min | Loss: 0.1409 | Acc_t:  0.9548 | IOU_t:  0.9136 | IOU_k:  0.8657
(25/101) Batch: 1.785s | TOTAL: 1min | ETA: 2min | Loss: 0.1373 | Acc_t:  0.9550 | IOU_t:  0.9140 | IOU_k:  0.8658
(26/101) Batch: 1.795s | TOTAL: 1min | ETA: 2min | Loss: 0.1347 | Acc_t:  0.9553 | IOU_t:  0.9142 | IOU_k:  0.8667
(27/101) Batch: 1.797s | TOTAL: 1min | ETA: 2min | Loss: 0.1405 | Acc_t:  0.9559 | IOU_t:  0.9152 | IOU_k:  0.8672
(28/101) Batch: 1.787s | TOTAL: 1min | ETA: 2min | Loss: 0.1462 | Acc_t:  0.9555 | IOU_t:  0.9148 | IOU_k:  0.8672
(29/101) Batch: 1.788s | TOTAL: 1min | ETA: 2min | Loss: 0.1431 | Acc_t:  0.9544 | IOU_t:  0.9137 | IOU_k:  0.8667
(30/101) Batch: 1.791s | TOTAL: 1min | ETA: 2min | Loss: 0.1478 | Acc_t:  0.9547 | IOU_t:  0.9145 | IOU_k:  0.8674
