checkpoint path: /data_2/projects/PseNet/ckpt/wh0603--0609-0702_pretrain_ic17
init lr: 0.00010000
('schedule: ', [30, 60])
/data_1/software/anaconda/envs/PSENet/lib/python2.7/site-packages/torch/nn/functional.py:2457: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
/data_1/software/anaconda/envs/PSENet/lib/python2.7/site-packages/torch/nn/functional.py:2539: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  "See the documentation of nn.Upsample for details.".format(mode))
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210603/data4train/pse_wh_200_right/train/img ==========
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210603/data4train/pse_wh_200_error_labeled/train/img ==========
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210603/data4train/human_check/train/img ==========
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210702/data4train/pse_wh_200_error_labeled/train/img ==========
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210609/data4train/pse_wh_200_error_labeled/train/img ==========
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210703/data4train/human_check/train/img ==========
None
Using pretrained model.

Epoch: [1 | 200] LR: 0.000100
(1/106) Batch: 1.526s | TOTAL: 0min | ETA: 3min | Loss: 0.0530 | Acc_t:  0.9487 | IOU_t:  0.9164 | IOU_k:  0.8650
(2/106) Batch: 1.591s | TOTAL: 0min | ETA: 3min | Loss: 0.0501 | Acc_t:  0.9605 | IOU_t:  0.9267 | IOU_k:  0.8723
(3/106) Batch: 1.560s | TOTAL: 0min | ETA: 3min | Loss: 0.0568 | Acc_t:  0.9581 | IOU_t:  0.9206 | IOU_k:  0.8737
(4/106) Batch: 1.622s | TOTAL: 0min | ETA: 3min | Loss: 0.0534 | Acc_t:  0.9615 | IOU_t:  0.9268 | IOU_k:  0.8807
(5/106) Batch: 1.695s | TOTAL: 0min | ETA: 3min | Loss: 0.0525 | Acc_t:  0.9630 | IOU_t:  0.9297 | IOU_k:  0.8838
(6/106) Batch: 1.694s | TOTAL: 0min | ETA: 3min | Loss: 0.0505 | Acc_t:  0.9625 | IOU_t:  0.9311 | IOU_k:  0.8860
(7/106) Batch: 1.737s | TOTAL: 0min | ETA: 3min | Loss: 0.0499 | Acc_t:  0.9634 | IOU_t:  0.9336 | IOU_k:  0.8839
(8/106) Batch: 1.736s | TOTAL: 0min | ETA: 3min | Loss: 0.0786 | Acc_t:  0.9645 | IOU_t:  0.9353 | IOU_k:  0.8856
(9/106) Batch: 1.741s | TOTAL: 0min | ETA: 3min | Loss: 0.0745 | Acc_t:  0.9651 | IOU_t:  0.9367 | IOU_k:  0.8877
(10/106) Batch: 1.775s | TOTAL: 0min | ETA: 3min | Loss: 0.0737 | Acc_t:  0.9648 | IOU_t:  0.9371 | IOU_k:  0.8861
(11/106) Batch: 1.797s | TOTAL: 0min | ETA: 3min | Loss: 0.0713 | Acc_t:  0.9642 | IOU_t:  0.9361 | IOU_k:  0.8895
(12/106) Batch: 1.795s | TOTAL: 0min | ETA: 3min | Loss: 0.0690 | Acc_t:  0.9641 | IOU_t:  0.9365 | IOU_k:  0.8896
(13/106) Batch: 1.818s | TOTAL: 0min | ETA: 3min | Loss: 0.0862 | Acc_t:  0.9622 | IOU_t:  0.9328 | IOU_k:  0.8857
(14/106) Batch: 1.810s | TOTAL: 0min | ETA: 3min | Loss: 0.0839 | Acc_t:  0.9629 | IOU_t:  0.9325 | IOU_k:  0.8863
(15/106) Batch: 1.815s | TOTAL: 0min | ETA: 3min | Loss: 0.0820 | Acc_t:  0.9622 | IOU_t:  0.9307 | IOU_k:  0.8862
(16/106) Batch: 1.822s | TOTAL: 0min | ETA: 3min | Loss: 0.0799 | Acc_t:  0.9619 | IOU_t:  0.9308 | IOU_k:  0.8864
(17/106) Batch: 1.806s | TOTAL: 0min | ETA: 3min | Loss: 0.0782 | Acc_t:  0.9622 | IOU_t:  0.9313 | IOU_k:  0.8861
(18/106) Batch: 1.791s | TOTAL: 1min | ETA: 3min | Loss: 0.0762 | Acc_t:  0.9626 | IOU_t:  0.9318 | IOU_k:  0.8866
(19/106) Batch: 1.793s | TOTAL: 1min | ETA: 3min | Loss: 0.0747 | Acc_t:  0.9630 | IOU_t:  0.9318 | IOU_k:  0.8884
(20/106) Batch: 1.810s | TOTAL: 1min | ETA: 3min | Loss: 0.0744 | Acc_t:  0.9622 | IOU_t:  0.9311 | IOU_k:  0.8866
(21/106) Batch: 1.804s | TOTAL: 1min | ETA: 3min | Loss: 0.0733 | Acc_t:  0.9609 | IOU_t:  0.9296 | IOU_k:  0.8846
(22/106) Batch: 1.784s | TOTAL: 1min | ETA: 3min | Loss: 0.0730 | Acc_t:  0.9601 | IOU_t:  0.9277 | IOU_k:  0.8833
(23/106) Batch: 1.778s | TOTAL: 1min | ETA: 2min | Loss: 0.0723 | Acc_t:  0.9608 | IOU_t:  0.9280 | IOU_k:  0.8805
(24/106) Batch: 1.771s | TOTAL: 1min | ETA: 2min | Loss: 0.0810 | Acc_t:  0.9612 | IOU_t:  0.9289 | IOU_k:  0.8812
(25/106) Batch: 1.769s | TOTAL: 1min | ETA: 2min | Loss: 0.0893 | Acc_t:  0.9614 | IOU_t:  0.9296 | IOU_k:  0.8813
(26/106) Batch: 1.760s | TOTAL: 1min | ETA: 2min | Loss: 0.0874 | Acc_t:  0.9616 | IOU_t:  0.9303 | IOU_k:  0.8818
(27/106) Batch: 1.767s | TOTAL: 1min | ETA: 2min | Loss: 0.0861 | Acc_t:  0.9615 | IOU_t:  0.9305 | IOU_k:  0.8820
(28/106) Batch: 1.755s | TOTAL: 1min | ETA: 2min | Loss: 0.0851 | Acc_t:  0.9609 | IOU_t:  0.9301 | IOU_k:  0.8812
(29/106) Batch: 1.755s | TOTAL: 1min | ETA: 2min | Loss: 0.0839 | Acc_t:  0.9605 | IOU_t:  0.9296 | IOU_k:  0.8815
(30/106) Batch: 1.763s | TOTAL: 1min | ETA: 2min | Loss: 0.0825 | Acc_t:  0.9608 | IOU_t:  0.9302 | IOU_k:  0.8820
(31/106) Batch: 1.760s | TOTAL: 1min | ETA: 2min | Loss: 0.0811 | Acc_t:  0.9611 | IOU_t:  0.9308 | IOU_k:  0.8824
(32/106) Batch: 1.753s | TOTAL: 1min | ETA: 2min | Loss: 0.0797 | Acc_t:  0.9617 | IOU_t:  0.9316 | IOU_k:  0.8837
(33/106) Batch: 1.757s | TOTAL: 1min | ETA: 2min | Loss: 0.0787 | Acc_t:  0.9614 | IOU_t:  0.9315 | IOU_k:  0.8842
(34/106) Batch: 1.756s | TOTAL: 1min | ETA: 2min | Loss: 0.0776 | Acc_t:  0.9613 | IOU_t:  0.9316 | IOU_k:  0.8839
(35/106) Batch: 1.753s | TOTAL: 1min | ETA: 2min | Loss: 0.0767 | Acc_t:  0.9615 | IOU_t:  0.9317 | IOU_k:  0.8840
(36/106) Batch: 1.748s | TOTAL: 1min | ETA: 2min | Loss: 0.0763 | Acc_t:  0.9613 | IOU_t:  0.9306 | IOU_k:  0.8830
(37/106) Batch: 1.757s | TOTAL: 1min | ETA: 2min | Loss: 0.0756 | Acc_t:  0.9616 | IOU_t:  0.9310 | IOU_k:  0.8838
(38/106) Batch: 1.755s | TOTAL: 1min | ETA: 2min | Loss: 0.0750 | Acc_t:  0.9618 | IOU_t:  0.9313 | IOU_k:  0.8841
(39/106) Batch: 1.749s | TOTAL: 1min | ETA: 2min | Loss: 0.0741 | Acc_t:  0.9621 | IOU_t:  0.9316 | IOU_k:  0.8847
(40/106) Batch: 1.745s | TOTAL: 1min | ETA: 2min | Loss: 0.0732 | Acc_t:  0.9625 | IOU_t:  0.9321 | IOU_k:  0.8852
(41/106) Batch: 1.744s | TOTAL: 1min | ETA: 2min | Loss: 0.0725 | Acc_t:  0.9627 | IOU_t:  0.9325 | IOU_k:  0.8854
(42/106) Batch: 1.746s | TOTAL: 1min | ETA: 2min | Loss: 0.0728 | Acc_t:  0.9609 | IOU_t:  0.9295 | IOU_k:  0.8839
(43/106) Batch: 1.748s | TOTAL: 1min | ETA: 2min | Loss: 0.0724 | Acc_t:  0.9609 | IOU_t:  0.9295 | IOU_k:  0.8844
(44/106) Batch: 1.745s | TOTAL: 1min | ETA: 2min | Loss: 0.0717 | Acc_t:  0.9610 | IOU_t:  0.9298 | IOU_k:  0.8844
(45/106) Batch: 1.743s | TOTAL: 1min | ETA: 2min | Loss: 0.0711 | Acc_t:  0.9613 | IOU_t:  0.9301 | IOU_k:  0.8849
