checkpoint path: /data_2/projects/PseNet/ckpt/wh0603--0609-0702_pretrain_ic17
init lr: 0.00010000
('schedule: ', [30, 60])
/data_1/software/anaconda/envs/PSENet/lib/python2.7/site-packages/torch/nn/functional.py:2457: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
/data_1/software/anaconda/envs/PSENet/lib/python2.7/site-packages/torch/nn/functional.py:2539: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  "See the documentation of nn.Upsample for details.".format(mode))
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210603/data4train/pse_wh_200_right/train/img ==========
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210603/data4train/pse_wh_200_error_labeled/train/img ==========
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210603/data4train/human_check/train/img ==========
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210702/data4train/pse_wh_200_error_labeled/train/img ==========
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210609/data4train/pse_wh_200_error_labeled/train/img ==========
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210703/data4train/pse_wh_200_error_labeled/train/img ==========
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210703/data4train/human_check/train/img ==========
None
Using pretrained model.

Epoch: [1 | 200] LR: 0.000100
(1/124) Batch: 1.667s | TOTAL: 0min | ETA: 3min | Loss: 0.0570 | Acc_t:  0.9604 | IOU_t:  0.9271 | IOU_k:  0.8624
(2/124) Batch: 2.016s | TOTAL: 0min | ETA: 4min | Loss: 0.0493 | Acc_t:  0.9657 | IOU_t:  0.9337 | IOU_k:  0.8900
(3/124) Batch: 1.923s | TOTAL: 0min | ETA: 4min | Loss: 0.0483 | Acc_t:  0.9693 | IOU_t:  0.9386 | IOU_k:  0.8967
(4/124) Batch: 1.861s | TOTAL: 0min | ETA: 4min | Loss: 0.0459 | Acc_t:  0.9695 | IOU_t:  0.9413 | IOU_k:  0.8986
(5/124) Batch: 1.917s | TOTAL: 0min | ETA: 4min | Loss: 0.1085 | Acc_t:  0.9674 | IOU_t:  0.9392 | IOU_k:  0.8942
(6/124) Batch: 1.999s | TOTAL: 0min | ETA: 4min | Loss: 0.1006 | Acc_t:  0.9644 | IOU_t:  0.9340 | IOU_k:  0.8801
(7/124) Batch: 1.969s | TOTAL: 0min | ETA: 4min | Loss: 0.0937 | Acc_t:  0.9637 | IOU_t:  0.9343 | IOU_k:  0.8784
(8/124) Batch: 1.975s | TOTAL: 0min | ETA: 4min | Loss: 0.1180 | Acc_t:  0.9644 | IOU_t:  0.9357 | IOU_k:  0.8804
(9/124) Batch: 1.990s | TOTAL: 0min | ETA: 4min | Loss: 0.1109 | Acc_t:  0.9641 | IOU_t:  0.9358 | IOU_k:  0.8824
(10/124) Batch: 1.974s | TOTAL: 0min | ETA: 4min | Loss: 0.1280 | Acc_t:  0.9659 | IOU_t:  0.9369 | IOU_k:  0.8873
(11/124) Batch: 1.941s | TOTAL: 0min | ETA: 4min | Loss: 0.1220 | Acc_t:  0.9642 | IOU_t:  0.9340 | IOU_k:  0.8843
(12/124) Batch: 1.911s | TOTAL: 0min | ETA: 4min | Loss: 0.1194 | Acc_t:  0.9628 | IOU_t:  0.9321 | IOU_k:  0.8829
(13/124) Batch: 1.926s | TOTAL: 0min | ETA: 4min | Loss: 0.1162 | Acc_t:  0.9629 | IOU_t:  0.9309 | IOU_k:  0.8829
(14/124) Batch: 1.950s | TOTAL: 0min | ETA: 4min | Loss: 0.1148 | Acc_t:  0.9600 | IOU_t:  0.9273 | IOU_k:  0.8791
(15/124) Batch: 1.921s | TOTAL: 0min | ETA: 4min | Loss: 0.1119 | Acc_t:  0.9587 | IOU_t:  0.9260 | IOU_k:  0.8777
(16/124) Batch: 1.904s | TOTAL: 0min | ETA: 3min | Loss: 0.1076 | Acc_t:  0.9596 | IOU_t:  0.9272 | IOU_k:  0.8785
(17/124) Batch: 1.895s | TOTAL: 1min | ETA: 3min | Loss: 0.1039 | Acc_t:  0.9602 | IOU_t:  0.9283 | IOU_k:  0.8785
(18/124) Batch: 1.898s | TOTAL: 1min | ETA: 3min | Loss: 0.1014 | Acc_t:  0.9580 | IOU_t:  0.9264 | IOU_k:  0.8737
(19/124) Batch: 1.872s | TOTAL: 1min | ETA: 3min | Loss: 0.0985 | Acc_t:  0.9587 | IOU_t:  0.9272 | IOU_k:  0.8735
(20/124) Batch: 1.868s | TOTAL: 1min | ETA: 3min | Loss: 0.0961 | Acc_t:  0.9593 | IOU_t:  0.9271 | IOU_k:  0.8739
(21/124) Batch: 1.849s | TOTAL: 1min | ETA: 3min | Loss: 0.0935 | Acc_t:  0.9600 | IOU_t:  0.9282 | IOU_k:  0.8746
(22/124) Batch: 1.843s | TOTAL: 1min | ETA: 3min | Loss: 0.0916 | Acc_t:  0.9601 | IOU_t:  0.9278 | IOU_k:  0.8753
(23/124) Batch: 1.846s | TOTAL: 1min | ETA: 3min | Loss: 0.0898 | Acc_t:  0.9605 | IOU_t:  0.9285 | IOU_k:  0.8757
(24/124) Batch: 1.851s | TOTAL: 1min | ETA: 3min | Loss: 0.0933 | Acc_t:  0.9610 | IOU_t:  0.9287 | IOU_k:  0.8761
